Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2
0.281681878,0.177964095,0,0.24411002,0.221203108,0.173154284,0.17760625,0.111846288,0,0.366507351,0.214682189,0.072811661,0.121203035,0.07371649,0,0.336560081,0.265586384,0.246156828,0,0.420684385,0.448155005,0.360399585
0.281681878,0.177964095,0,0.210332622,0.205162599,0.155241291,0.17760625,0.111846288,0,0.365516308,0.283041061,0.048043512,0.121203035,0.07371649,0,0.373949089,0.291850771,0.229855943,0,0.413287001,0.426546538,0.395256925
0.281681878,0.177964095,0,0.17422404,0.149322604,0.131606398,0.17760625,0.111846288,0,0.357789226,0.35604402,0.026517314,0.121203035,0.07371649,0,0.394093606,0.302511234,0.198539997,0,0.415599757,0.412721569,0.402540413
0.281681878,0.177964095,0,0.149073072,0.126549585,0.11382764,0.17760625,0.111846288,0,0.353601987,0.389516745,0.037789629,0.121203035,0.07371649,0,0.38405665,0.27341777,0.142576571,0,0.428432533,0.407285268,0.38348011
0.281681878,0.177964095,0,0.132266376,0.130280159,0.089449475,0.17760625,0.111846288,0,0.363472054,0.396656151,0.034439903,0.121203035,0.07371649,0,0.366508704,0.262731452,0.121082618,0,0.425962842,0.41705877,0.38563652
0.281681878,0.177964095,0,0.1406212,0.133166559,0.093422745,0.17760625,0.111846288,0,0.34646964,0.395740608,0.034063676,0.121203035,0.07371649,0,0.356394239,0.269579411,0.12380126,0,0.418775319,0.422432228,0.404843074
0.281681878,0.177964095,0,0.152451871,0.13565451,0.076732533,0.17760625,0.111846288,0,0.325789599,0.371359671,0.018677084,0.121203035,0.07371649,0,0.349828995,0.265627285,0.13024531,0,0.448333988,0.413873119,0.416113972
0.281681878,0.177964095,0,0.159129767,0.120807729,0.066091342,0.17760625,0.111846288,0,0.309042862,0.320241934,0.020386073,0.121203035,0.07371649,0,0.32846027,0.247793705,0.09587511,0,0.400010199,0.402441716,0.4166814
0.281681878,0.177964095,0,0.155486957,0.097963342,0.06345293,0.17760625,0.111846288,0,0.284189524,0.257283271,0.021265004,0.121203035,0.07371649,0,0.306874923,0.234357314,0.086300482,0,0.391142578,0.402150867,0.377615032
0.281681878,0.177964095,0.01,0.141943329,0.080011989,0.047140688,0.17760625,0.111846288,0.046428261,0.239066934,0.183387122,0.029282359,0.121203035,0.07371649,0.011897652,0.27381758,0.235569731,0.09703571,0.014316805,0.384718527,0.387241059,0.373835114
0.281681878,0.177964095,0.160032456,0.132552079,0.067314127,0.031462425,0.17760625,0.111846288,0.354195788,0.156199615,0.110914966,0.041734552,0.121203035,0.07371649,0.243978275,0.244775961,0.217776921,0.087152718,0.276629365,0.369628687,0.380270808,0.363086823
0.281681878,0.177964095,0.430785079,0.069018375,0.032852845,0.01,0.17760625,0.111846288,0.647225305,0.057488923,0.019468099,0.013815134,0.121203035,0.07371649,0.629546686,0.105423511,0.078767489,0.032285333,0.63793732,0.24218937,0.151201727,0.156342647
0.281681878,0.177964095,0.615640254,0.025335353,0.015057337,0.01,0.17760625,0.111846288,0.746689542,0.056787782,0.019864423,0.010136647,0.121203035,0.07371649,0.783718591,0.049429945,0.03397279,0.010150476,0.75035121,0.232275978,0.185868737,0.146892456
0.281681878,0.177964095,0.738856621,0.020492786,0.02311132,0.01950522,0.17760625,0.111846288,0.797174165,0.057799538,0.022609632,0.019710454,0.121203035,0.07371649,0.816056871,0.044653385,0.033394548,0.01,0.77861758,0.249839159,0.193492435,0.180262758
0.281681878,0.177964095,0.773418305,0.021880541,0.028762721,0.038117014,0.17760625,0.111846288,0.805286667,0.068487161,0.030539459,0.044124203,0.121203035,0.07371649,0.800709823,0.047669972,0.031316448,0.011281994,0.803185276,0.24491049,0.199081973,0.19681894
0.281681878,0.177964095,0.741470584,0.028235764,0.039352338,0.058274059,0.17760625,0.111846288,0.800135977,0.082526427,0.039691255,0.078510489,0.121203035,0.07371649,0.770122493,0.062119822,0.033426893,0.013475918,0.805266626,0.256515173,0.236145489,0.218516772
0.281681878,0.177964095,0.728884661,0.042399626,0.066562829,0.09003891,0.17760625,0.111846288,0.796191208,0.10194738,0.060572186,0.117680922,0.121203035,0.07371649,0.760507902,0.086671179,0.043166172,0.02191455,0.753477514,0.295501192,0.270809643,0.220881921
0.281681878,0.177964095,0.710307318,0.075384385,0.113449432,0.168329591,0.17760625,0.111846288,0.789706273,0.137754715,0.085960421,0.149233171,0.121203035,0.07371649,0.762410528,0.117481379,0.057925542,0.03596626,0.706916283,0.302046868,0.26120062,0.240131707
